date_id,date,day,month,year,quarter,week_day
0,20130101,1,1,2013,1,Tuesday
20,20130422,22,4,2013,2,Monday
70,20130927,27,9,2013,3,Friday
73,20131012,12,10,2013,4,Saturday
86,20140101,1,1,2014,1,Wednesday
91,20140106,6,1,2014,1,Monday
92,20140107,7,1,2014,1,Tuesday
1483,20171101,1,11,2017,4,Wednesday
95,20140110,10,1,2014,1,Friday
97,20140112,12,1,2014,1,Sunday
99,20140114,14,1,2014,1,Tuesday
108,20140123,23,1,2014,1,Thursday
111,20140126,26,1,2014,1,Sunday
112,20140127,27,1,2014,1,Monday
115,20140130,30,1,2014,1,Thursday
322,20140825,25,8,2014,3,Monday
120,20140204,4,2,2014,1,Tuesday
123,20140207,7,2,2014,1,Friday
132,20140216,16,2,2014,1,Sunday
1042,20160816,16,8,2016,3,Tuesday
136,20140220,20,2,2014,1,Thursday
141,20140225,25,2,2014,1,Tuesday
143,20140227,27,2,2014,1,Thursday
920,20160415,15,4,2016,2,Friday
1141,20161123,23,11,2016,4,Wednesday
1237,20170228,28,2,2017,1,Tuesday
1401,20170811,11,8,2017,3,Friday
153,20140309,9,3,2014,1,Sunday
158,20140314,14,3,2014,1,Friday
165,20140321,21,3,2014,1,Friday
167,20140323,23,3,2014,1,Sunday
173,20140329,29,3,2014,1,Saturday
176,20140401,1,4,2014,2,Tuesday
180,20140405,5,4,2014,2,Saturday
673,20150812,12,8,2015,3,Wednesday
195,20140420,20,4,2014,2,Sunday
1580,20180206,6,2,2018,1,Tuesday
1119,20161101,1,11,2016,4,Tuesday
204,20140429,29,4,2014,2,Tuesday
452,20150102,2,1,2015,1,Friday
1595,20180221,21,2,2018,1,Wednesday
205,20140430,30,4,2014,2,Wednesday
207,20140502,2,5,2014,2,Friday
208,20140503,3,5,2014,2,Saturday
210,20140505,5,5,2014,2,Monday
213,20140508,8,5,2014,2,Thursday
825,20160111,11,1,2016,1,Monday
1462,20171011,11,10,2017,4,Wednesday
781,20151128,28,11,2015,4,Saturday
1209,20170131,31,1,2017,1,Tuesday
226,20140521,21,5,2014,2,Wednesday
522,20150313,13,3,2015,1,Friday
228,20140523,23,5,2014,2,Friday
232,20140527,27,5,2014,2,Tuesday
692,20150831,31,8,2015,3,Monday
1206,20170128,28,1,2017,1,Saturday
969,20160603,3,6,2016,2,Friday
233,20140528,28,5,2014,2,Wednesday
1392,20170802,2,8,2017,3,Wednesday
239,20140603,3,6,2014,2,Tuesday
1167,20161219,19,12,2016,4,Monday
275,20140709,9,7,2014,3,Wednesday
260,20140624,24,6,2014,2,Tuesday
297,20140731,31,7,2014,3,Thursday
269,20140703,3,7,2014,3,Thursday
276,20140710,10,7,2014,3,Thursday
281,20140715,15,7,2014,3,Tuesday
283,20140717,17,7,2014,3,Thursday
284,20140718,18,7,2014,3,Friday
287,20140721,21,7,2014,3,Monday
293,20140727,27,7,2014,3,Sunday
298,20140801,1,8,2014,3,Friday
1582,20180208,8,2,2018,1,Thursday
299,20140802,2,8,2014,3,Saturday
302,20140805,5,8,2014,3,Tuesday
303,20140806,6,8,2014,3,Wednesday
305,20140808,8,8,2014,3,Friday
307,20140810,10,8,2014,3,Sunday
311,20140814,14,8,2014,3,Thursday
319,20140822,22,8,2014,3,Friday
325,20140828,28,8,2014,3,Thursday
1358,20170629,29,6,2017,2,Thursday
1293,20170425,25,4,2017,2,Tuesday
1575,20180201,1,2,2018,1,Thursday
332,20140904,4,9,2014,3,Thursday
333,20140905,5,9,2014,3,Friday
945,20160510,10,5,2016,2,Tuesday
1051,20160825,25,8,2016,3,Thursday
506,20150225,25,2,2015,1,Wednesday
350,20140922,22,9,2014,3,Monday
790,20151207,7,12,2015,4,Monday
1140,20161122,22,11,2016,4,Tuesday
362,20141004,4,10,2014,4,Saturday
368,20141010,10,10,2014,4,Friday
1205,20170127,27,1,2017,1,Friday
381,20141023,23,10,2014,4,Thursday
1215,20170206,6,2,2017,1,Monday
384,20141026,26,10,2014,4,Sunday
1038,20160812,12,8,2016,3,Friday
1149,20161201,1,12,2016,4,Thursday
1343,20170614,14,6,2017,2,Wednesday
397,20141108,8,11,2014,4,Saturday
399,20141110,10,11,2014,4,Monday
400,20141111,11,11,2014,4,Tuesday
1148,20161130,30,11,2016,4,Wednesday
407,20141118,18,11,2014,4,Tuesday
412,20141123,23,11,2014,4,Sunday
416,20141127,27,11,2014,4,Thursday
418,20141129,29,11,2014,4,Saturday
1469,20171018,18,10,2017,4,Wednesday
419,20141130,30,11,2014,4,Sunday
1631,20180329,29,3,2018,1,Thursday
422,20141203,3,12,2014,4,Wednesday
425,20141206,6,12,2014,4,Saturday
646,20150716,16,7,2015,3,Thursday
539,20150330,30,3,2015,1,Monday
1188,20170109,9,1,2017,1,Monday
576,20150507,7,5,2015,2,Thursday
426,20141207,7,12,2014,4,Sunday
428,20141209,9,12,2014,4,Tuesday
