age_group,gender,status,type,partecipant_id
Adult 18+,Male,Arrested,Suspect,1
Teen 12-17,Male,Unharmed,Suspect,2
Adult 18+,Female,Arrested,Suspect,3
Adult 18+,Male,Unharmed,Suspect,4
Teen 12-17,Male,Arrested,Suspect,5
Adult 18+,Female,Unharmed,Suspect,6
Adult 18+,Male,Killed,Suspect,7
Adult 18+,Male,Injured,Suspect,8
Adult 18+,Female,Injured,Suspect,9
Teen 12-17,Female,Arrested,Suspect,10
Child 0-11,Male,Arrested,Suspect,11
Child 0-11,Male,Injured,Suspect,12
Adult 18+,Female,Killed,Suspect,13
Teen 12-17,Male,Injured,Suspect,14
Teen 12-17,Male,Killed,Suspect,15
Child 0-11,Male,Unharmed,Suspect,16
Child 0-11,Female,Unharmed,Suspect,17
Teen 12-17,Female,Unharmed,Suspect,18
Teen 12-17,Female,Killed,Suspect,19
Teen 12-17,Female,Injured,Suspect,20
Adult 18+,Male,Killed,Victim,21
Adult 18+,Male,Injured,Victim,22
Adult 18+,Female,Injured,Victim,23
Adult 18+,Female,Killed,Victim,24
Adult 18+,Male,Unharmed,Victim,25
Child 0-11,Male,Injured,Victim,26
Child 0-11,Female,Injured,Victim,27
Teen 12-17,Female,Injured,Victim,28
Teen 12-17,Female,Killed,Victim,29
Teen 12-17,Male,Injured,Victim,30
Child 0-11,Male,Killed,Victim,31
Teen 12-17,Male,Killed,Victim,32
Adult 18+,Male,Arrested,Victim,33
Teen 12-17,Male,Unharmed,Victim,34
Adult 18+,Female,Unharmed,Victim,35
Teen 12-17,Female,Unharmed,Victim,36
Child 0-11,Female,Unharmed,Victim,37
Child 0-11,Male,Unharmed,Victim,38
Child 0-11,Female,Killed,Victim,39
Adult 18+,Female,Arrested,Victim,40
Teen 12-17,Male,Arrested,Victim,41
Child 0-11,Male,Arrested,Victim,42
Child 0-11,Female,Arrested,Victim,43
Teen 12-17,Female,Arrested,Victim,44
Child 0-11,Female,Killed,Suspect,45
Child 0-11,Male,Killed,Suspect,46
Child 0-11,Female,Arrested,Suspect,47
Child 0-11,Female,Injured,Suspect,48
